Route_id,Dari,Sampai,Jalur,Lajur,"Tanggal
 Pelaksanaan",Keterangan
motorway,11+800,12+000,A,2,2024-07-04,Scraping Filling AC WC
motorway,,,B,1,2024-05-16,Scraping Filling AC WC
motorway,12+000,12+200,A,0,2025-09-24,Scraping Filling AC WC
motorway,,,A,3,2025-09-24,Scraping Filling AC WC
motorway,,,B,1,2024-05-15,Scraping Filling AC WC
motorway,12+200,12+400,A,3,2025-07-15,Scraping Filling AC WC
motorway,,,B,2,2024-05-14,Scraping Filling AC WC
motorway,12+400,12+600,A,3,2026,Scrapping Filling
motorway,,,B,2,2024-05-14,Scraping Filling AC WC
motorway,12+600,12+800,A,3,2025-07-15,Scraping Filling AC WC
motorway,,,B,2,2024-05-11,Scraping Filling AC WC
motorway,12+800,13+000,A,1,2024-07-09,Scraping Filling AC WC
motorway,,,B,2,2024-05-11,Scraping Filling AC WC
motorway,13+000,13+200,A,1,2024-07-10,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,13+200,13+400,A,1,2024-07-11,Scraping Filling AC WC
motorway,,,A,3,2024-07-11,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,13+400,13+600,A,1,2024-07-12,Scraping Filling AC WC
motorway,,,A,2,2024-07-12,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,13+600,13+800,A,2,2024-07-13,Scraping Filling AC WC
motorway,,,B,1,2024-05-09,Scraping Filling AC WC
motorway,13+800,14+000,A,1,2024-07-15,Scraping Filling AC WC
motorway,,,B,2,2024-05-08,Scraping Filling AC WC
motorway,14+000,14+200,A,3,2024-07-16,Scraping Filling AC BC
motorway,,,B,2,2024-05-08,Scraping Filling AC WC
motorway,,,B,3,2024-05-08,Scraping Filling AC WC
motorway,14+200,14+400,A,2,2024-07-16,Scraping Filling AC WC
motorway,,,A,3,2024-07-16,Scraping Filling AC BC
motorway,,,B,3,2024-05-08,Scraping Filling AC WC
motorway,14+400,14+600,A,1,2024-07-18,Scraping Filling AC WC
motorway,,,B,3,2025-07-12,Scraping Filling AC WC
motorway,14+600,14+800,A,1,2024-08-27,Scraping Filling AC WC
motorway,,,B,3,2025-07-12,Scraping Filling AC WC
motorway,14+800,15+000,A,1,2024-08-27,Scraping Filling AC WC
